"","Transect","X","Order","Sample","SiteObjectID","Date","Location","Area","Estimate","Biomass","Numbers","Number.Species","Ibi","AdjIbi","Hpi","AdjHpi","Group.1","Group.2","Group.3","Group.4","Include","Flag","Group.3.JDM","fG2.JDM","fG3.JDM","fG4.JDM","Group.4.JDM","Shoreline.Treat.Detail","M1LAT","M1LONG","M2LAT","M2LONG","Mean.Fetch","Time.Period","Temp","Conductivity_0_mid","Do_0_mid","Macrophyte.Density","Transectendnotes","Bedrock","Boulder","Cobble","Rubble","Gravel","Sand","Organic.Silt","Armoustone","LWD","Algae","Proximity.to.river.creek.mouth","Proximity.to.embayment","Transectstartnotes","Habitat.Comments","jdate","Fished","INLA_dist","Nat_5000","Urb_5000","Agr_5000","Wet_5000","For_5000","DomLandCover_5000","DomPercent_5000","Marinas_5000","Rivers_5000","Wetlands_5000","Total_5000","MarinaDist_5000","MarinaArea_5000","MarinaDist_ALL","WetlandDist_5000","WetlandArea_5000","WetlandDist_ALL","RiverDist_5000","RiverStrahler_5000","RiverShreve_5000","RiverDist_ALL","RiverDist_Large","RiverStrahler_Large","RiverShreve_Large","RiverName_Large","ClosestFeature","ClosestDist","NEARSHOREG","NearshoreGeologyCoarse","NearshoreGeologyDetailed","FixedDist","Slope"
"11","BO1",11,116,9724,14,"8/15/2018","OPEN","Burloak","N",618,4,4,44.4937,38.32,7.3296,6.7746,"Treated","Groynes","Surcharged groyne","Groynes/Mixed beach",NA,"OK","Surcharged groyne","Groyne","Groyne","SurchargedGroyne","Groynes/Mixed beach","groynes and cobble/gravel beach",43.3708,-79.7252,43.37,-79.7259,9.936074324,2,22.24,305,11.73,0,"Urban, cobble beach with partial groyne",90,0,5,0,0,5,0,0,0,1,0,0,"Bedrock (90%); cobble (5%); sand (5%)","",17758,1,12016,8,80,12,2,5,"Urban",80,2,5,1,8,3215,50059,3215,3799,47729,3799,1779,3,10,1779,3190,5,279,"Bronte Creek","Marina",3215,561,"Bedrock (Erosive)","Bedrock (Erosive)",1701.74231,-0.008335281
"12","BO2",12,117,9725,15,"8/15/2018","OPEN","Burloak","N",2452,35,9,53.1718,36.1595,29.9945,20.4441,"Treated","Groynes","Surcharged groyne","Groynes/Mixed beach",NA,"OK","Surcharged groyne","Groyne","Groyne","SurchargedGroyne","Groynes/Mixed beach","groynes and cobble/gravel beach",43.3693,-79.726,43.3685,-79.7268,18.71445609,2,22.24,305,11.73,0,"Urban, cobble beach with partial groyne",50,0,50,0,0,0,0,0,0,0,0,0,"Bedrock (50%); cobble (50%)","Cobbles are small and same as those on shore ",17758,1,11837,8,81,11,2,5,"Urban",81,2,6,1,9,3349,50059,3349,3934,47729,3934,1658,2,7,1658,3324,5,279,"Bronte Creek","Marina",3349,561,"Bedrock (Erosive)","Bedrock (Erosive)",1644.279663,-0.008549284
"13","BO3",13,118,9726,16,"8/15/2018","OPEN","Burloak","N",2306,6,4,29.2026,20.4773,21.638,17.2797,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"OK","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","surcharged armourstone/rubble islands/breakwall",43.3679,-79.7263,43.3672,-79.7271,22.33208748,2,22.34,307,11.19,0,"Urban; transect outside armourstone islands protecting natural shoreline",50,0,0,0,0,0,0,50,0,0,0,0,"Bedrock (50%) armourstone (50%)","Armourstone island protecting shallow area with cobbles",17758,1,11679,7,82,11,2,5,"Urban",82,2,6,1,9,3476,50059,3476,4061,47729,4061,1495,2,7,1495,3452,5,279,"Bronte Creek","Marina",3476,561,"Bedrock (Erosive)","Bedrock (Erosive)",1553.444336,-0.008892831
"14","BO4",14,119,9728,17,"8/15/2018","OPEN","Burloak","N",3172,7,6,48.6372,31.085,27.7982,18.7142,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","armourstone/rubble revetment",43.3667,-79.7295,43.3665,-79.7307,22.06294599,2,22.34,307,11.19,0,"Urban",50,0,50,0,0,0,0,0,0,0,0,0,"Bedrock (50%); cobble (50%)","",17758,1,11387,7,82,11,2,5,"Urban",82,2,6,1,9,3779,50059,3779,4363,47729,4363,1193,2,7,1193,3754,5,279,"Bronte Creek","Marina",3779,561,"Bedrock (Erosive)","Bedrock (Erosive)",1613.678345,-0.007955465
"15","BP1a",15,160,9876,18,"7/19/2018","OPEN","Bluffer's Park","N",1000,40,1,22.2222,0,28.5236,0,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","informal rubble placemen, large stone",43.70715,-79.22618,43.70844,-79.22603,41.13946412,2,21.1,NA,NA,0,"Urban; sand, cobble, rubble beach",0,0,0,90,0,10,0,0,0,0,0,0,"90% rubble; 10% sand","",17731,1,80174,7,88,5,0,6,"Urban",88,1,0,0,1,60,198359,60,NA,NA,9728,NA,NA,NA,9565,13735,6,454,"Rouge River","Marina",60,503,"Cohesive (Till)","Cohesive Till, Thin Sand Cover (< 50 m3/m)",2638.295898,-0.005102332
"16","BP1b",16,161,9877,19,"7/19/2018","OPEN","Bluffer's Park","N",891,28,1,22.2222,0,23.3565,0,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.70844,-79.22603,43.70971,-79.22576,31.49015982,2,21.1,NA,NA,0,"Urban; sand, cobble, rubble beach",0,0,0,90,0,10,0,0,0,0,0,0,"90% rubble; 10% sand","",17731,1,80318,7,88,4,0,6,"Urban",88,1,0,0,1,235,198359,235,NA,NA,9578,NA,NA,NA,9415,13585,6,454,"Rouge River","Marina",235,503,"Cohesive (Till)","Cohesive Till, Thin Sand Cover (< 50 m3/m)",2727.060303,-0.004967099
"17","BP1c",17,162,9878,117,"7/19/2018","OPEN","Bluffer's Park","N",1760,78,2,27.8374,0.436,51.8749,0.501,"Mixed","Structure","Groynes","Groynes/Mixed beach",NA,"Add","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.70971,-79.22576,43.71132,-79.22492,35.2609,2,21.1,NA,NA,0,"Urban; sand, cobble, rubble beach",0,0,0,90,0,10,0,0,0,0,0,0,"90% rubble; 10% sand","",17731,1,80461,8,88,4,0,6,"Urban",88,1,0,0,1,385,198359,385,0,NA,9428,NA,NA,NA,9265,13435,6,454,"Rouge River","Marina",385,503,"Cohesive (Till)","Cohesive Till, Thin Sand Cover (< 50 m3/m)",2783.6521,-0.004866335
"18","CB1",18,65,9668,140,"7/11/2018","OPEN","Cobourg","B",765.2,69,3,20.5547,0,27.9069,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"Add","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9604,-78.1063,43.9599,-78.1073,40.7734,2,13.14,300,13.32,0,"Residential, agricultural, natural shoreline, trees",50,25,25,0,0,0,0,0,0,0,1,0,"Bedrock (50%), boulder (25%), and cobble (25%)","",17723,1,177766,30,18,51,13,16,"Agriculture",51,1,6,0,7,NA,NA,5149,NA,NA,6782,132,3,6,132,16009,5,386,"Ganaraska River","River",132,561,"Bedrock (Erosive)","Bedrock (Erosive)",2342.879883,-0.00470313
"19","CB10",19,74,9681,38,"7/11/2018","OPEN","Cobourg","B",384.2,34,2,23.5097,0,14.4163,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9574,-78.1345,43.9572,-78.1357,43.62330646,2,14.03,300,13.73,0,"Residential, agricultural, natural shoreline, trees",60,20,20,0,0,0,0,0,0,0,0,0,"Bedrock (60%), boulder (20%), cobble (20%)","",17723,1,175372,24,35,41,11,12,"Agriculture",41,1,6,0,7,2706,148026,2706,NA,NA,6997,962,3,7,962,13565,5,386,"Ganaraska River","River",962,561,"Bedrock (Erosive)","Bedrock (Erosive)",1708.170776,-0.006373985
"20","CB11",20,75,9682,39,"7/11/2018","OPEN","Cobourg","N",134,21,3,28.9154,1.12,6.1582,0.2167,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.957,-78.1375,43.9569,-78.1388,44.39342672,2,13.67,300,13.67,0,"Residential, agricultural, natural shoreline, trees",100,0,0,0,0,0,0,0,0,0,0,0,"Bedrock (100%)","",17723,1,175127,23,36,40,11,11,"Agriculture",40,1,6,0,7,2441,148026,2441,NA,NA,6732,697,3,7,697,13301,5,386,"Ganaraska River","River",697,561,"Bedrock (Erosive)","Bedrock (Erosive)",1626.464356,-0.006507962
"21","CB12",21,76,9683,40,"7/11/2018","OPEN","Cobourg","B",199.6,24,1,22.2222,0,8.3675,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9567,-78.1402,43.9568,-78.1413,44.37521464,2,13.2,299,14.92,0,"Residential, agricultural, natural shoreline, trees",70,0,30,0,0,0,0,0,0,0,0,0,"Bedrock (70%); cobble (30%)","",17723,1,174907,23,38,39,11,11,"Agriculture",39,1,6,0,7,2206,148026,2206,NA,NA,6497,462,3,7,462,13066,5,386,"Ganaraska River","River",462,561,"Bedrock (Erosive)","Bedrock (Erosive)",1605.7677,-0.006516675
"22","CB13",22,77,9684,41,"7/11/2018","OPEN","Cobourg","N",54,6,2,22.2222,0,2.196,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"Flag","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9568,-78.1427,43.9571,-78.1438,44.34299214,2,14.17,300,14.05,0,"Residential, agricultural, natural shoreline, trees",40,30,30,0,0,0,0,0,0,0,0,0,"Bedrock (40%), boulder (30%), and cobble (30%)","",17723,1,174706,23,38,38,11,11,"Urban",38,1,6,0,7,1996,148026,1996,NA,NA,6287,252,3,7,252,12856,5,386,"Ganaraska River","River",252,561,"Bedrock (Erosive)","Bedrock (Erosive)",1656.592285,-0.006337231
"23","CB14",23,78,9685,42,"7/11/2018","OPEN","Cobourg","N",205,20,5,20.4827,2.0233,7.8267,0.7862,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9569,-78.1451,43.9567,-78.1464,41.9675379,2,14.17,301,14.29,0,"Residential, agricultural, natural shoreline, trees",60,40,0,0,0,0,0,0,0,0,0,0,"Bedrock (60%); cobble (40%)","",17723,1,174513,22,39,38,10,11,"Urban",39,1,6,0,7,1816,148026,1816,0,NA,6107,72,3,7,72,12676,5,386,"Ganaraska River","River",72,561,"Bedrock (Erosive)","Bedrock (Erosive)",1709.402954,-0.006227415
"24","CB15",24,79,9686,43,"7/12/2018","OPEN","Cobourg","B",163.4,20,1,22.2222,0,6.894,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","Mixed Beach","Beach","MixedBeach","MixedBeach","Mixed Beach","sand/gravel/cobble beach",43.9675,-78.0867,43.9676,-78.088,39.00651836,2,13.4,300,13.23,0,"Residential, agricultural, natural shoreline, trees",0,0,0,0,0,100,0,0,1,0,0,0,"Sand 100%","Large woody debris along gravel shore",17724,1,179545,36,11,52,16,20,"Agriculture",52,0,6,1,7,NA,NA,7034,NA,NA,5021,42,3,8,42,17894,5,386,"Ganaraska River","River",42,561,"Bedrock (Erosive)","Bedrock (Erosive)",2552.955078,-0.004148013
"25","CB16",25,80,9687,44,"7/12/2018","OPEN","Cobourg","B",75.9,9,1,22.2222,0,3.1656,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","Mixed Beach","Beach","MixedBeach","MixedBeach","Mixed Beach","sand/gravel/cobble beach",43.9676,-78.088,43.967,-78.0842,38.98915921,2,13.4,301,13.09,0,"Residential, agricultural, natural shoreline, trees",0,0,0,0,0,100,0,0,1,0,0,0,"Sand 100%","Large woody debris along gravel shore",17724,1,179440,36,11,52,15,20,"Agriculture",52,0,6,1,7,NA,NA,6914,NA,NA,5141,102,3,8,102,17774,5,386,"Ganaraska River","River",102,561,"Bedrock (Erosive)","Bedrock (Erosive)",2497.734375,-0.004249682
"26","CB17",26,81,9688,45,"7/12/2018","OPEN","Cobourg","N",48,4,1,22.2222,0,1.7702,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","Mixed Beach","Beach","MixedBeach","MixedBeach","Mixed Beach","sand/gravel/cobble beach",43.9668,-78.083,43.9668,-78.0817,41.31200289,2,13.2,301,12.69,0,"Residential, agricultural, natural shoreline, trees",0,0,0,0,0,100,0,0,1,0,0,0,"Sand 100%","Large woody debris along gravel shore",17724,1,179852,36,11,51,16,20,"Agriculture",51,0,5,1,6,NA,NA,7322,4708,6912,4708,355,3,8,355,18182,5,386,"Ganaraska River","River",355,561,"Bedrock (Erosive)","Bedrock (Erosive)",2381.577393,-0.004538549
"27","CB18",27,82,9689,46,"7/12/2018","OPEN","Cobourg","N",41,5,1,22.2222,0,1.7276,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"Flag","Mixed Beach","Beach","MixedBeach","MixedBeach","Mixed Beach","sand/gravel/cobble beach",43.9668,-78.0817,43.9666,-78.0805,38.86551508,2,13.2,300,13.31,0,"Residential, agricultural, natural shoreline, trees",0,0,0,0,0,100,0,0,1,0,0,0,"Sand 100%","Large woody debris along gravel shore",17724,1,179956,36,11,51,16,20,"Agriculture",51,0,5,1,6,NA,NA,7412,4618,6912,4618,445,3,8,445,18272,5,386,"Ganaraska River","River",445,561,"Bedrock (Erosive)","Bedrock (Erosive)",2358.644531,-0.004628398
"28","CB2",28,66,9672,47,"7/11/2018","OPEN","Cobourg","N",382,38,3,23.4902,3.6604,13.7829,1.857,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9595,-78.1085,43.9591,-78.1096,42.99026164,2,13.3,299,14.85,0,"Residential, agricultural, natural shoreline, trees",80,10,10,0,0,0,0,0,0,0,1,0,"Bedrock (80%), boulder (10%), and cobble (10%)","",17723,1,177563,29,19,51,13,15,"Agriculture",51,1,6,0,7,4919,148026,4919,NA,NA,7011,115,3,6,115,15779,5,386,"Ganaraska River","River",115,561,"Bedrock (Erosive)","Bedrock (Erosive)",2255.405762,-0.004899617
"29","CB3",29,67,9674,48,"7/11/2018","OPEN","Cobourg","B",281.4,33,2,26.5387,0,11.6793,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9585,-78.1106,43.9581,-78.1117,42.98118905,2,13.33,299,13.62,0,"Residential, agricultural, natural shoreline, trees",90,5,5,0,0,0,0,0,0,0,1,0,"Bedrock (90%), boulder (5%), and cobble (5%)","",17723,1,177361,28,21,50,13,14,"Agriculture",50,1,6,0,7,4720,148026,4720,NA,NA,7211,265,3,7,265,15580,5,386,"Ganaraska River","River",265,561,"Bedrock (Erosive)","Bedrock (Erosive)",2173.965088,-0.00514131
"30","CB4",30,68,9675,49,"7/11/2018","OPEN","Cobourg","B",232.1,23,2,21.8143,0,9.0931,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9576,-78.1128,43.9576,-78.114,46.34388348,2,13.2,299,14.47,0,"Residential, agricultural, natural shoreline, trees",50,15,15,0,0,20,0,0,0,0,1,0,"Bedrock (50%), boulder (15%), cobble (15%); and sand (20%)","",17723,1,177158,27,22,50,12,14,"Agriculture",50,1,6,0,7,4520,148026,4520,NA,NA,7411,115,3,7,115,15380,5,386,"Ganaraska River","River",115,561,"Bedrock (Erosive)","Bedrock (Erosive)",2126.398438,-0.005322335
"31","CB5",31,69,9676,50,"7/10/2018","OPEN","Cobourg","B",489.8,29,3,23.8345,1.952,15.649,1.3048,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9568,-78.1155,43.9568,-78.1168,46.31313608,2,13.05,299,14.57,0,"Residential, agricultural, natural shoreline, trees",70,15,15,0,0,0,0,0,0,0,1,0,"Bedrock (70%), boulder (15%), and cobble (15%)","",17722,1,176923,27,23,49,13,13,"Agriculture",49,1,7,0,8,4273,148026,4273,NA,NA,7658,200,3,7,200,15133,5,386,"Ganaraska River","River",200,561,"Bedrock (Erosive)","Bedrock (Erosive)",2093.082275,-0.005509128
"32","CB6",32,70,9677,51,"7/10/2018","OPEN","Cobourg","B",133.3,11,2,23.6281,0,4.8634,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9563,-78.1194,43.9563,-78.1207,46.66979774,2,11.66,301,13.17,0,"Residential, agricultural, natural shoreline, trees",50,25,25,0,0,0,0,0,0,0,1,0,"Bedrock (50%), boulder (25%), and cobble (25%)","",17722,1,176605,26,26,47,12,13,"Agriculture",47,1,6,0,7,3906,148026,3906,NA,NA,8025,567,3,7,567,14765,5,386,"Ganaraska River","River",567,561,"Bedrock (Erosive)","Bedrock (Erosive)",2078.060059,-0.005601664
"33","CB7",33,71,9678,52,"7/10/2018","OPEN","Cobourg","N",43,5,2,22.9328,0,1.7767,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9571,-78.124,43.9571,-78.1254,43.84166779,2,12.1,300,15,0,"Residential, agricultural, natural shoreline, trees",20,20,40,0,0,20,0,0,0,0,0,0,"Bedrock (20%), boulder (20%), cobble (40%); and sand (20%)","",17722,1,176225,25,29,45,12,12,"Agriculture",45,1,6,0,7,3570,148026,3570,NA,NA,7862,927,3,7,927,14430,5,386,"Ganaraska River","River",927,561,"Bedrock (Erosive)","Bedrock (Erosive)",1998.877441,-0.005839466
"34","CB8",34,72,9679,53,"7/11/2018","OPEN","Cobourg","B",24.4,1,1,22.2222,0,0.7019,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9573,-78.1279,43.9573,-78.1293,44.99551804,2,14.17,299,13.81,0,"Residential, agricultural, natural shoreline, trees",40,0,20,0,0,40,0,0,0,0,0,0,"Bedrock (40%), cobble (20%); and sand (40%)","",17723,1,175911,24,31,43,11,12,"Agriculture",43,1,6,0,7,3240,148026,3240,NA,NA,7532,1257,3,7,1257,14100,5,386,"Ganaraska River","Marina",3240,561,"Bedrock (Erosive)","Bedrock (Erosive)",1891.7854,-0.006088376
